description,amount,date,category
WAL Cr9498880976218 BM,-347.31,2026-02-28,Shopping & Retail
TRFURBANBARNCANADA,-127.2,2026-01-16,Home Goods and Furniture
ATM Cash DEP Jiffy Lube Oman 964674,-16484.77,2026-05-08,Fuel and Transport
POSPURCHASEOPTICAREOMANJan20,-2122.72,2026-05-02,Medical and Health
txnCOSTCOPHARMACYCANADA,-2444.77,2025-12-17,Medical and Health
LYFT CANADA#9607,-3452.9,2026-01-05,Fuel and Transport
POS PURCHASE CARREFOUR May 10,-6.72,2026-03-20,Groceries
TRF TO CALGARY AIRPORT PARKING,-36774.55,2026-03-14,Fuel and Transport
INTERAC TOYOTA FINANCIAL SERVICES CANADA CHILLIWACK,-14241.9,2025-12-01,Vehicle Loans and Fines
LANDTAXDEPTOMANCARD*2166,-875.38,2025-12-19,Government Services
COLD STONE CREAMERY OMAN PAYMENT,-31.51,2026-05-09,Dining and Cafes
FATPASHATORONTOTXNID:3761812,-252.07,2025-12-05,Dining and Cafes
@planinternationalcanada,-3457.54,2026-04-04,Charity Donations
POS PURCHASE WILLIAMS-SONOMA CANADA Aug 24,-491.95,2025-11-26,Home Goods and Furniture
BLUESHORE FINANCIAL_DEL,-250.75,2026-02-09,Bank Charges
PUR-IBRIMEDI,-3625.31,2026-04-19,Medical and Health
@bankmuscatatmfee,-409.13,2026-03-02,Bank Charges
PAYMENTTOLENDINGLOOPCANADAFORSeptember2021,-2686.19,2026-03-28,Loan Payments
SOCIAL ALLOWANCE OMAN TXNID:2183849,168.62,2026-12-29,Government Support and Pensions
PAYMENTTOMONERISCANADAFORAugust2023,-232.34,2025-11-24,Other / Uncategorized
out of the cold canada trsf,-9333.38,2026-03-21,Charity Donations
MASTERCARDWILLISTOWERSWATSONCANADA*9437,-379.71,2025-11-06,Insurance
POSPURCHASEMUSCATINSURANCECOMPANYAug24,-940.43,2026-02-13,Insurance
PAYMENT TO RICHTREE NATURAL MARKETS FOR September 2019,-234.21,2025-11-08,Dining and Cafes
CANACCORD GENUITY CANADAPOSBANFF,-747.76,2026-04-07,Savings and Investments
TERRONI *8994,-199.63,2026-02-05,Dining and Cafes
POS TORONTO HYDRO **3055,-208.99,2026-05-09,Housing and Utilities
POSCITYOFTORONTOPARKING**4261,-963.39,2026-02-07,Government Services
MinistryofManpowerOmanx3295,-922.54,2026-03-12,Government Services
Transfer from Manulife Investments Canada,338.06,2026-02-28,Savings and Investments
SUNNY'S FOOD MARKET CARD*4578,-170.4,2026-04-10,Groceries
Mawer Investment Canada x5784,-1211.36,2025-12-09,Savings and Investments
TRIP.COM OMAN TXNID:1193961,-4548.91,2025-11-25,Travel and Hotels
WAL Cr3421894022921 BM,-413.5,2025-12-02,Shopping & Retail
ATMCashWithdrwNMCSpecialtyHospital63054700:31:48,-3786.09,2026-03-02,Medical and Health
txn THE WAVE MUSCAT PROPERTIES,-1912.37,2026-03-10,Rent Payments
TransferfromDriveCleanOntario,-9062.66,2025-12-06,Vehicle Loans and Fines
YOUTUBE REVENUE INC,4640.29,2025-05-29,Business or Freelance Income
Payment:RUSTAQ MUNICIPALITY,-986.18,2026-01-10,Government Services
txnH&MHOMEOMAN,-272.59,2025-11-09,Home Goods and Furniture
POS 607023-DUCA RRSP - 539 P O BOX 560,-599.74,2025-11-13,Savings and Investments
ALBERTA STUDENT LOAN CARD*6005,-12894.73,2026-01-09,Loan Payments
BARRALJISSAHRESORTCARD*9936,-1604.42,2025-12-04,Travel and Hotels
RECEIVED_FROM_National_Bank_Line_Credit,11120.31,2026-01-28,Loan Payments
FOREVER 21 CANADA CARD*1349,-277.76,2025-11-08,Shopping & Retail
ATM Cash DEP Club Monaco Canada 401936,-342.17,2026-04-09,Shopping & Retail
NATURALIZER CANADA_73118,-116.64,2026-03-04,Shopping & Retail
txn LONDON TRANSIT ONTARIO,-16369.19,2026-02-21,Fuel and Transport
BAUSHER REAL ESTATEPOSWEST VANCOUVER,-2109.68,2026-03-19,Rent Payments
www.althotelscanada.com,-4602.23,2025-12-06,Travel and Hotels
CITYOFEDMONTONSERVICESSERVICECHARGE,-239.69,2026-03-27,Government Services
DEUXPARDEUXCANADA#4473,-261.56,2026-03-03,Shopping & Retail
Payment:MAZAYASUPERMARKET,-190.45,2026-04-01,Groceries
VISADEBITRICHMONDSTATIONBEL,-26.4,2025-11-10,Dining and Cafes
E-TRANSFERBANJARAINDIANCUISINE,-180.7,2026-02-03,Dining and Cafes
@kumoncanada,-2318.68,2026-03-16,Education
WAL Cr2296509871504 BM,-2707.52,2026-01-10,Medical and Health
txn ONTARIO WORKS OW,796.38,2026-05-28,Government Support and Pensions
TRF CITY OF MISSISSAUGA SERVICES,-645.19,2026-03-02,Government Services
Saf Pension Oman Store #119,670.25,2026-03-29,Government Support and Pensions
TRFEQUINOXCANADA,-3230.73,2026-04-21,Medical and Health
VISA DEBIT CAREEM PEN,-36269.75,2025-12-10,Fuel and Transport
INTERAC CANADA POST CORPORATION THUNDER BAY,-213.67,2026-05-10,Government Services
CITYC_68,-68.01,2026-02-07,Entertainment and Leisure
MAZOONDAIRYSAOG,-135.35,2026-01-04,Dining and Cafes
POLICYADVISORCANADA*2724,-625.76,2026-03-02,Insurance
RECEIPT MARBLE FINANCIAL CANADA ESQUIMALT,-19376.51,2026-03-04,Loan Payments
POS717803-thw-americanbritishacademy,-1476.44,2026-01-03,Education
MUSCAT HILLS RESORT CARD*4891,-1697.35,2026-04-02,Travel and Hotels
RECEIVED_FROM_Majan_Electricity,93.96,2025-02-28,Housing and Utilities
TRF BIG BROTHERS BIG SISTERS CANADA,-1865.0,2026-01-10,Charity Donations
SleepInnCanadaStore#5,-4640.64,2026-01-02,Travel and Hotels
RECEIPTSQUARECANADAGLOUCESTER,-342.12,2026-01-05,Other / Uncategorized
PUR-BMOPAYRO,20891.36,2026-05-28,Salary / Payroll
Avis Oman Trnsfr,46442.05,2025-01-28,Fuel and Transport
VISA DEBIT GULF HOMES REAL ESTATE GHU,-2190.51,2026-01-10,Rent Payments
ATMCashWithdrwOntarioWorks65943806:30:26,-144.69,2025-11-12,Government Services
MASTERCARD SHOPIFY CANADA *1236,-339.51,2026-01-16,Other / Uncategorized
TRFHSBCOMANLOAN,-1273.41,2026-05-27,Loan Payments
SOHO HOUSE TORONTO PAYMENT,-4742.85,2026-02-06,Travel and Hotels
Bonjour Brioche Toronto Trnsfr,131.57,2026-02-28,Dining and Cafes
WAL Cr5170588325915 BM,-1444.61,2026-03-12,Vehicle Loans and Fines
ALMAHAAUTOLOANCARD*5638,-504.05,2026-02-04,Vehicle Loans and Fines
Payment:WESTJET AIRLINES,-13489.59,2026-01-13,Fuel and Transport
Wallet Trx 4081150491544 GREEN MART EXPRESS,-231.92,2026-05-12,Groceries
ATM Cash DEP Scotiabank Direct Deposit 402386,17608.02,2026-05-30,Salary / Payroll
DIGITALOCEAN CANADA#4964,-205.95,2026-04-02,Other / Uncategorized
ATM Cash Withdrw Omantel Postpaid 265085 10:32:40,-138.93,2026-01-21,Telecom
LIFEMARKPHYSIOTHERAPYINC,-2127.52,2025-12-24,Medical and Health
PUR-KIASERVI,-48442.18,2025-12-07,Fuel and Transport
txnMSM30INVESTMENT,-1852.53,2026-04-02,Savings and Investments
MASTERCARDRAKUTENADVERTISINGCANADA*9644,1165.01,2025-04-30,Business or Freelance Income
VISADEBITTRAVELODGETORONTOWAD,-3747.2,2026-04-20,Travel and Hotels
OMANDENTALCOLLEGE*1748,-6281.04,2026-03-02,Education
ATMCashWithdrwCanadaSavingsBond88337402:53:55,-597.83,2026-05-24,Savings and Investments
RECEIVED_FROM_Federal_Employee_Pay_Canada,722.41,2026-11-30,Government Support and Pensions
PAYMENT TO OMAN GOLF CLUB FOR March 2019,-98.63,2026-01-21,Entertainment and Leisure
TransferfromMuscatTaxi,-7415.81,2025-12-20,Fuel and Transport
POS PURCHASE QURUM MEDICAL CENTER Jan 4,-1871.2,2026-04-07,Medical and Health
ONLINE PURCHASE THINKIFIC CANADA,2711.68,2025-01-30,Business or Freelance Income
Wallet Trx 8092054358972 CASH MONEY CANADA,-9732.75,2026-02-05,Loan Payments
MASTERCARD GIS GUARANTEED INCOME SUPPLEMENT CANADA *4360,264.19,2026-02-28,Government Support and Pensions
@alansabresidences,-615.16,2026-03-21,Rent Payments
RECEIPT NIZWA TRAFFIC FINE QURUM,-211.4,2026-02-03,Vehicle Loans and Fines
POS MINISTRY OF SOCIAL DEVELOPMENT OMAN **2728,-99.4,2026-04-23,Government Services
ATMCashDEPOABCarLoan758639,-3795.72,2026-04-05,Vehicle Loans and Fines
Payment:SMILES DENTAL CANADA,-2498.71,2026-04-18,Medical and Health
Payment:STACKTV CANADA,-55.85,2025-11-06,Entertainment and Leisure
MASTERCARD RUSTAQ MUNICIPALITY *5873,-961.27,2026-05-09,Government Services
Rogers Home Internet x5968,-190.78,2026-05-21,Housing and Utilities
www.herzingcollegecanada.com,-3328.87,2026-01-20,Education
Agip Oman Trnsfr,34487.69,2025-04-29,Fuel and Transport
WalletTrx1829820453785APPLECARECANADA,-28.38,2026-02-15,Telecom
VISADEBITDIGITALPRODUCTINCOMEKIT,1918.68,2026-11-28,Business or Freelance Income
CANADA EDUCATION SAVINGS GRANT CESG 0711,263.8,2026-03-29,Government Support and Pensions
E-TRANSFER TD AUTO FINANCE CANADA,-531.1,2025-11-25,Vehicle Loans and Fines
THE BIG CARROT TORONTO CARD*5747,-102.35,2026-03-10,Groceries
CTBCBANKCANADA_83556,-262.58,2025-12-18,Bank Charges
POS RICHARDSON WEALTH CANADA **3604,-1168.53,2025-12-05,Savings and Investments
HABITAT FOR HUMANITY CANADA_WET,-6397.82,2026-05-01,Charity Donations
VISADEBITAHLIBANKAUTOFINANCESTE,-7164.81,2026-03-04,Vehicle Loans and Fines
ATMCashWithdrwEvolveETFsCanada98380721:43:32,-537.91,2026-04-10,Savings and Investments
ATMCashDEPAlKhodhSupermarket353795,-217.5,2025-11-06,Groceries
TRFBANKOFMUSCATBRANCHES,-193.03,2026-01-11,Bank Charges
badr al samaa payment,-1737.08,2026-03-01,Medical and Health
Wallet Trx 7167437636021 LETHBRIDGE COLLEGE ALBERTA,-2003.37,2026-03-23,Education
POS ICASH CANADA **8054,-5086.73,2026-05-24,Loan Payments
www.koodomobilecanada.com,-171.72,2025-11-11,Telecom
INTERAC QUALITY INN TORONTO HALIFAX,-4730.95,2026-05-04,Travel and Hotels
E-TRANSFERMOORESCLOTHINGFORMEN,-193.12,2025-12-11,Shopping & Retail
www.eqbankcanada.com,-401.12,2026-05-14,Bank Charges
TRFALTERNASAVINGSCANADA,-191.51,2026-02-27,Bank Charges
RECEIVED_FROM_Live_Nation_Canada,88.59,2026-02-28,Entertainment and Leisure
OMANTELMONTHLYBILL#1724,-49.89,2026-04-04,Telecom
CARECanadax5226,-5474.38,2025-11-02,Charity Donations
RECEIPTROGERSINTERNETCANADANEWWESTMINSTER,-27.29,2026-03-07,Telecom
POS971222-thw-oqchemicalssalary,876.49,2026-01-29,Salary / Payroll
ONLINE PURCHASE BRITISH COLUMBIA STUDENT LOAN,-1833.15,2026-01-03,Loan Payments
ALITTIHADTELECOMSERVICECHARGE,-64.77,2026-05-07,Telecom
POS 692994-thw-employmentinsuranceregularei,724.29,2026-12-29,Government Support and Pensions
RECEIVED_FROM_Tip_Top_Tailors,395.68,2026-04-30,Shopping & Retail
Wallet Trx 1980360011311 PALETTE LIVING CANADA,-171.34,2026-03-22,Home Goods and Furniture
TRF NATIONAL BANK ATM FEE,-186.6,2026-03-15,Bank Charges
MAGICAL CREDIT CANADA / SASKATOON,4527.75,2026-05-29,Loan Payments
YANGO *5766,-35701.76,2025-12-25,Fuel and Transport
DIAMWATER/THUMRAIT,-53.3,2026-05-01,Housing and Utilities
MEEDALBAHJABUSINESSINCOMEPOSAURORA,1199.38,2026-05-28,Business or Freelance Income
Transfer from Insani Yardim Vakfi Oman,7015.33,2026-05-28,Charity Donations
E-TRANSFERRBCLINEOFCREDITCANADA,11046.35,2026-03-29,Loan Payments
ADOBE CREATIVE CLOUD CANADA SERVICE CHARGE,-225.98,2026-05-08,Other / Uncategorized
PUR-WADIKABI,-2378.63,2026-01-21,Rent Payments
Wallet Trx 4432106155345 QURUM PARK OMAN,-76.64,2026-04-09,Entertainment and Leisure
NABUCAFE#1048,-86.17,2026-04-16,Dining and Cafes
ATMCashDEPOxfamCanada428276,-2654.11,2026-01-02,Charity Donations
GROCERY PEOPLE CANADAPOSBELLEVILLE ONTARIO,-45.55,2026-05-12,Groceries
txn BRITISH COLUMBIA PUBLIC SERVICE PAY,945.28,2026-05-28,Government Support and Pensions
AL BATINAH COLLEGE 2703,-11803.01,2026-05-03,Education
ATM Cash DEP Barrie Hydro 610348,-103.09,2025-11-17,Housing and Utilities
TRF TO LONDON DRUGS HOME CANADA,-339.25,2026-02-15,Home Goods and Furniture
POS 375193-STATISTICS CANADA - 659 P O BOX 547,-285.23,2026-03-09,Government Services
POSPURCHASEEMIRATESNBDOMANOct13,-342.21,2026-04-05,Bank Charges
MASTERCARD AL SHARQIYA MARKET *4069,-210.19,2026-01-09,Groceries
pasi survivor benefit debit,541.6,2026-05-28,Government Support and Pensions
WalletTrx9171470010316LASERQUESTCANADA,-69.91,2026-02-24,Entertainment and Leisure
OMANOIL*2328,-20780.3,2025-11-01,Fuel and Transport
mawerinvestmentcanadaBRAMPTON,-1048.85,2026-05-07,Savings and Investments
KFC CANADAPOSIBRA,-298.37,2025-12-09,Dining and Cafes
MASTERCARD KRONOS PAYROLL *7689,28012.08,2026-03-29,Salary / Payroll
POS PURCHASE OVERSTOCK CANADA Jul 26,-171.03,2026-01-02,Home Goods and Furniture
RECEIPT CHILD PROTECTION AUTHORITY OMAN LONDON ONTARIO,-3227.38,2026-02-11,Charity Donations
CANAD_40,164.89,2026-04-28,Government Support and Pensions
POS 472381-thw-redcrosscanada,-4707.66,2026-04-14,Charity Donations
TRFEPCORUTILITIESEDMONTON,-117.64,2026-02-01,Housing and Utilities
CHEF'S PLATE CANADA LLC,-834.61,2025-11-06,Other / Uncategorized
RECEIPT CIBC INSURANCE CANADA COCHRANE ALBERTA,-134.6,2026-01-11,Insurance
VISA DEBIT ALTERNA SAVINGS GIC KEL,-1238.65,2025-12-13,Savings and Investments
StopPaymentFeeCanadaTrnsfr,494.6,2026-11-28,Bank Charges
GOOGL_82,-428.06,2026-04-11,Other / Uncategorized
ISTORE ACCESSORIES OMAN LTD,-701.25,2026-04-09,Other / Uncategorized
RECEIPT JOEY RESTAURANTS CANADA LONDON ONTARIO,-82.08,2026-03-12,Dining and Cafes
WAL Cr5843407807706 BM,-203.4,2026-01-20,Dining and Cafes
PUR-CHILDREN,-1581.32,2026-03-10,Medical and Health
ALDO SHOES CANADA CARD*3494,-417.48,2026-01-09,Shopping & Retail
groupe promutuel debit,-87.07,2026-03-02,Insurance
TRF GREATER VICTORIA WATER,-34.98,2026-05-01,Housing and Utilities
E-TRANSFER SPLITSVILLE CANADA,-43.89,2026-02-03,Entertainment and Leisure
emirates nbd oman trsf,-382.23,2025-12-03,Bank Charges
CINEPLEX STORE CANADA CARD*7457,-8.23,2026-01-05,Entertainment and Leisure
RECEIVED_FROM_Salalah_Rentals,1206.93,2026-01-29,Rent Payments
POS 245189-TOYS R US CANADA - 10 P O BOX 566,-73.06,2025-12-02,Shopping & Retail
TRF TO ATANA HOTEL MUSCAT,-4143.85,2025-12-03,Travel and Hotels
NBO MONTHLY SALARY / PETERBOROUGH,17074.37,2026-01-30,Salary / Payroll
crayola experience canada debit,-317.11,2026-03-16,Shopping & Retail
MEED AL BAHJA BUSINESS INCOME 2502,1669.8,2025-12-30,Business or Freelance Income
Transfer from Direct Deposit Payroll,37120.67,2025-02-28,Salary / Payroll
OMAN FIBER OPTIC / NIZWA,-166.16,2026-03-28,Telecom
INTERACTIVE BROKERS CANADA SERVICE CHARGE,-1913.29,2025-12-04,Savings and Investments
OTTAWA FOOD BANK LTD,-3494.88,2026-03-09,Charity Donations
@evolveetfscanada,-299.77,2026-05-03,Savings and Investments
SERVICESASKATCHEWAN_KAN,-460.06,2025-11-03,Government Services
INTERAC QURUM NATURAL PARK GATINEAU,-21.35,2026-05-23,Entertainment and Leisure
PUR-VODAFONE,-74.58,2026-01-08,Telecom
txn TIMBERLAND CANADA,-48.87,2026-04-02,Shopping & Retail
www.ontariotrilliumbenefit.com,457.79,2026-05-29,Government Support and Pensions
Oman Customs Authority Store #532,-217.95,2025-11-02,Government Services
PORTER AIRLINES PAYMENT,-7275.06,2026-01-09,Fuel and Transport
POS GREATER SUDBURY UTILITIES **1114,-177.46,2026-03-18,Housing and Utilities
STREETCAPITALGROUPCANADACARD*3199,-31.03,2025-12-08,Bank Charges
POS 303766-thw-jwmarriotttoronto,-4375.84,2026-02-18,Travel and Hotels
RECEIVED_FROM_Dar_Al_Atta'a,2159.25,2025-04-29,Charity Donations
ALHAMRAPHARMACY_ST.,-3582.76,2026-01-17,Medical and Health
txn BUDGET CAR RENTAL CANADA,-3457.94,2026-01-02,Fuel and Transport
@charlottetilburyoman,-1.33,2025-11-20,Shopping & Retail
CANADIAN FOOD INSPECTION AGENCY *3252,-114.81,2026-03-24,Government Services
GOTRANSIT*7305,-22867.15,2026-04-07,Fuel and Transport
WalletTrx7088814206204DRAGONDYNASTYTORONTO,-236.71,2026-01-06,Dining and Cafes
THE DORIAN CALGARY / SHINAS,-3149.02,2025-11-19,Travel and Hotels
AVANTI PAYROLL CANADA TXNID:7448526,9732.51,2026-02-28,Salary / Payroll
godaddy canada trsf,-309.53,2026-04-27,Other / Uncategorized
VISA DEBIT SUDBURY CREDIT UNION BRA,336.24,2025-12-29,Bank Charges
THE BAY HOME CANADA / BRANDON MANITOBA,-110.43,2026-02-07,Home Goods and Furniture
APPLE MUSIC CANADA CARD*9269,-40.06,2026-02-27,Entertainment and Leisure
HOME DECOR OMAN PAYMENT,-39.7,2026-05-11,Home Goods and Furniture
POS645032-thw-omanassociationforblind,-3683.17,2026-04-04,Charity Donations
Greyhound Canada x9092,-6873.04,2026-02-04,Fuel and Transport
GICINVESTMENTTD:REC,-1890.14,2026-01-01,Savings and Investments
POS 186283-CRUST PIZZA OMAN - 170 P O BOX 153,-105.96,2026-04-04,Dining and Cafes
POS 310746-thw-oxfamcanada,-577.6,2026-01-07,Charity Donations
MACKENZIE INVESTMENTS CANADA_HIG,-1832.68,2025-12-03,Savings and Investments
TRF TO CAPITAL POWER CANADA,-29.02,2026-05-07,Housing and Utilities
TRF NIZWA MUNICIPALITY,-224.49,2025-12-07,Housing and Utilities
WAL Cr9313708159173 BM,-48.88,2026-02-09,Bank Charges
ONLINE PURCHASE BELL HOME PHONE,-17.64,2026-04-03,Telecom
PUR-COLDWELL,-1638.28,2025-12-06,Rent Payments
SANDELLA'S OMAN / GRANBY,-144.37,2025-12-09,Dining and Cafes
icicibankcanadamortgageCRANBROOK BC,-16151.96,2026-02-07,Loan Payments
RECEIPT AHLI BANK OMAN BIDIYA,-437.06,2026-03-25,Bank Charges
HIGHWAY 400 INCIDENT CANADAPOSWHITBY,-14722.4,2026-01-18,Vehicle Loans and Fines
RECEIPT HAMILTON WATER UTILITY OTTAWA,-127.96,2026-04-07,Housing and Utilities
SecureLife Takaful x1995,-272.27,2025-12-05,Insurance
Payment:CLAIMSPRO CANADA,-916.36,2026-01-08,Insurance
VISADEBITTHINKIFICCANADAAL,6232.9,2025-04-29,Business or Freelance Income
VISA DEBIT STARLIGHT FOUNDATION CANADA SCA,-1630.96,2025-11-11,Charity Donations
ATM Cash Withdrw Babbel Canada 485654 02:23:02,-375.45,2026-04-24,Other / Uncategorized
NovotelOttawaTrnsfr,4339.25,2025-05-28,Travel and Hotels
Payment:NISSANFINANCEOMAN,-6934.29,2026-03-03,Vehicle Loans and Fines
HOMETRUSTGICPOSCORNERBROOK,-1831.81,2025-12-23,Savings and Investments
ATMCashWithdrwKiaFinanceOman36735602:48:27,-8887.61,2026-03-05,Vehicle Loans and Fines
OMAN CHARITABLE ORGANIZATION CARD*9617,-7949.06,2026-02-06,Charity Donations
parkscanadaPRINCE GEORGE,-370.52,2025-12-08,Government Services
DAVID SUZUKI FOUNDATION SERVICE CHARGE,-3574.58,2026-04-20,Charity Donations
HOME HARDWARE CANADA 1803,-20.46,2026-02-09,Home Goods and Furniture
WAL Cr7338469250755 BM,886.3,2026-12-28,Government Support and Pensions
CITYOFEDMONTONSERVICESCARD*7770,-705.24,2026-03-05,Government Services
ONLINE PURCHASE BANK MUSCAT MONTHLY SALARY,24409.33,2026-03-29,Salary / Payroll
POS 291758-AL ANDALUS INTERNATIONAL SCHOOL - 468 P O BOX 176,-10475.41,2026-05-08,Education
TRF TO MARKS & SPENCER OMAN,-300.82,2026-01-05,Shopping & Retail
TRF QUICKBOOKS CANADA,-807.45,2026-02-09,Other / Uncategorized
UBER:PAY,-48566.63,2026-02-10,Fuel and Transport
TRF TO COLLEGE OF NEW CALEDONIA,-7960.21,2026-03-02,Education
MUSCATFESTIVALEVENTSPAYMENT,-70.38,2025-11-22,Entertainment and Leisure
WAL Cr4172248084472 BM,-3813.98,2026-03-07,Charity Donations
ATMCashDEPCanadaWorkersBenefitCWB711874,554.1,2026-03-29,Government Support and Pensions
TRFSIRIUSXMCANADA,-27.9,2025-12-11,Entertainment and Leisure
AlQurumPropertiesStore#143,-328.34,2025-11-03,Rent Payments
LIFEMARKPHYSIOTHERAPYPOSWADIADAI,-97.49,2026-03-04,Medical and Health
www.canadaworkersbenefitcwb.com,656.38,2025-02-28,Government Support and Pensions
WAL Cr2914126778951 BM,-16.73,2026-04-19,Entertainment and Leisure
PUR-SHOEWARE,-378.18,2026-05-03,Shopping & Retail
Ruwi Petrol Station Trnsfr,25026.96,2025-05-30,Fuel and Transport
CIBC EMPLOYEE SALARY CARD*3412,10071.05,2026-04-30,Salary / Payroll
POSTHEWAVEMUSCATPROPERTIES**2907,-1198.11,2026-04-05,Rent Payments
ATMCashDEPKitchenStuffPlusCanada171297,-437.22,2026-04-22,Home Goods and Furniture
ZARA CANADA_MUT,-172.16,2026-01-27,Shopping & Retail
MASTERCARD GM FINANCIAL CANADA *6652,-8348.42,2025-12-05,Vehicle Loans and Fines
VISADEBITDESJARDINSGROUPCANADASHI,-412.0,2026-01-06,Bank Charges
ALHAMRAFURNITURE:PAY,-438.51,2026-04-17,Home Goods and Furniture
E-TRANSFER HILTON SALALAH RESORT,-650.99,2026-03-27,Travel and Hotels
ONLINE PURCHASE CITY OF HALIFAX SERVICES,-526.39,2025-12-07,Government Services
ATMCashDEPYMCACanada341171,-2185.34,2026-04-03,Medical and Health
CAPITAL MARKET AUTHORITY OMAN PAYMENT,-812.29,2026-04-10,Savings and Investments
ThaiCorner-payment,-291.74,2025-11-12,Dining and Cafes
txn GRAND ELECTRIC TORONTO,-146.14,2026-04-03,Dining and Cafes
PUR-RBCHOMEE,-12158.97,2026-02-13,Loan Payments
PUBLICAUTHORITYFORSOCIALINSURANCEPASI*3972,-850.04,2025-12-19,Government Services
PROSPERACREDITUNIONSERVICECHARGE,124.02,2026-03-29,Bank Charges
ATMCashDEPRCMPPayCanada642302,585.37,2026-04-29,Government Support and Pensions
PIMCO CANADA TXNID:8009508,-977.64,2026-01-05,Savings and Investments
CLV GROUP OTTAWA_EDM,-996.7,2026-01-08,Rent Payments
ONLINE PURCHASE BANK MUSCAT SALARY CREDIT,22470.44,2026-11-29,Salary / Payroll
RECEIVED_FROM_Al_Wafaa_Charity_Oman,3538.72,2026-11-30,Charity Donations
TRF NORTHBRIDGE INSURANCE,-827.7,2026-02-10,Insurance
AVENUES MALL MUSCAT INC,-20.12,2025-11-14,Entertainment and Leisure
SALALAH HOSPITAL TXNID:4119665,-989.49,2026-05-26,Medical and Health
PAYMENTTOTDAUTOLOANPAYMENTFOROctober2023,-4147.64,2025-12-08,Vehicle Loans and Fines
PAYMENT TO PARKDALE COMMUNITY CENTRE FOR March 2020,-1876.07,2026-01-24,Charity Donations
pan home oman trsf,-490.14,2026-05-23,Home Goods and Furniture
POS973993-thw-ontarioworksow,874.47,2026-12-29,Government Support and Pensions
PAYMENT TO GREATER SUDBURY UTILITIES FOR March 2021,-229.68,2026-01-12,Housing and Utilities
iCash Canada x1838,-2213.92,2025-12-08,Loan Payments
E-TRANSFERSOHARPOWERCOMPANY,-159.86,2026-01-08,Housing and Utilities
ttc toronto transit trsf,-27881.85,2026-03-08,Fuel and Transport
ATM Cash DEP Diam Water 835748,-78.52,2026-03-21,Housing and Utilities
ONLINEPURCHASESALALAHAIRPORTFEE,-442.48,2026-03-01,Government Services
NIAGARA HEALTH:REC,-1407.96,2026-01-28,Medical and Health
Payment:SHANGRI-LA TORONTO,-4752.89,2026-02-22,Travel and Hotels
PUR-UNIVERSI,-9902.82,2025-12-09,Education
PUR-JUKASATH,-84.97,2026-03-04,Entertainment and Leisure
VISA DEBIT OASIS SUPERMARKET MUT,-219.22,2026-03-05,Groceries
POS 183116-AL QURUM COLD STORE - 603 P O BOX 990,-182.34,2025-12-03,Groceries
POSCITYOFTORONTOPARKING**2032,-173.78,2026-02-06,Government Services
@rogersignitetv,-15.16,2026-05-16,Telecom
ASTER DM HEALTHCARE OMAN LTD,-583.94,2026-02-11,Medical and Health
RBC LINE OF CREDIT CANADA_47978,6627.18,2026-04-28,Loan Payments
